Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C5, C6, C7",0603,9,100nF,
"C12, C13",0603,2,22pF,
"C14, C15",0603,2,10uF,
"C8, C9",0603,2,1uF,
"D1, D2",0603,2,LED,
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
"R1, R2",0603,2,27R,
"R3, R4",0603,2,1k,
"R5, R6",0603,2,5.1k,
"R7, R8",0603,2,220,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,C9002,
