Designator,Mid X,Mid Y,Rotation,Layer
C1,141.301507,-85.1653,117.0,top
C10,138.52436,-84.847102,117.0,top
C11,128.682679,-81.19673,27.0,top
C12,143.24128,-100.324041,117.0,top
C13,148.81591,-97.608192,117.0,top
C14,144.714958,-77.004294,207.0,top
C15,146.494272,-75.209941,117.0,top
C2,142.740482,-84.432106,117.0,top
C3,144.179456,-83.698908,117.0,top
C4,148.630589,-91.51749,27.0,top
C5,147.904204,-90.091879,27.0,top
C6,135.26621,-97.687616,207.0,top
C7,134.895808,-91.847724,207.0,top
C8,145.618433,-82.965714,117.0,top
C9,137.085382,-85.580297,117.0,top
D1,135.475809,-80.375198,27.0,top
D2,141.914925,-78.777794,27.0,top
J2,139.43321,-64.614888,180.0,top
R1,138.67321,-74.194887,270.0,top
R2,140.373209,-74.244888,270.0,top
R3,132.995809,-79.447725,207.0,top
R4,146.493116,-95.91295,207.0,top
R5,137.073211,-74.244889,90.0,top
R6,142.07321,-74.244889,90.0,top
R7,136.281855,-81.984684,27.0,top
R8,142.708984,-80.281155,27.0,top
U1,142.262539,-92.315863,117.0,top
U2,131.365781,-86.855215,27.0,top
U3,149.454749,-80.579666,117.0,top
Y1,146.12019,-98.925613,27.0,top
